OrderID,Date,Order_type ,Action,Indicator,Set_description,Number of Sets,Profit
bf6b4dfa-9b67-436a-bab6-17511fa08c49,1962-08-02,Option,Sell,RSI,Sell 1 put option,100,109064.73599009776,
700fd85c-d315-4abf-84a5-cb74920afd57,1962-08-22,Option,Sell,RSI,Sell 1 put option,100,110914.72524860197,
7a1f5e9a-d97c-4e62-91b4-35f4cab99729,1962-09-07,Option,Buy,RSI,Buy 1 call option,100,-69785.16412089813,
7aabfad7-03be-4b4d-aa26-3bceccf5fed6,1962-09-21,Option,Sell,RSI,Sell 1 put option,100,109524.72021279292,
44c46133-99d6-43b4-adf8-354c065c7bbc,1962-09-26,Option,Buy,RSI,Buy 1 call option,100,-50145.12467530236,
b156108c-f509-44db-973b-9bdbb1c9cbfc,1962-10-17,Option,Sell,RSI,Sell 1 put option,100,104794.7175332025,
6ce370f2-6ae1-4124-985a-6a07a5f586fd,1962-10-23,Option,Buy,RSI,Buy 1 call option,100,1634.8594341998669,
7c656417-0367-4913-b2e3-939dc5f11065,1962-11-07,Option,Sell,RSI,Sell 1 put option,100,108624.71235880928,
142b86d0-f86c-4811-8c4f-56c675476ccf,1962-11-29,Option,Buy,MAVG,Buy 3 call options,144,-121672.98897941233,
baaf28c5-eb89-47e4-b995-95e592f799d8,1963-01-03,Option,Sell,RSI,Sell 1 put option,100,118504.70078571187,
4a992080-e009-4d36-bd7d-ff169fd7609f,1963-01-08,Option,Sell,RSI,Sell 1 put option,100,121294.69415599486,
2ec4f254-cee3-4cbb-82af-25355d816881,1963-01-25,Option,Sell,RSI,Sell 1 put option,100,124474.6870642984,
ac1ca397-5c8c-42cd-90dd-11105ab1c3ff,1963-03-01,Option,Buy,RSI,Buy 1 call option,100,-62745.15246230523,
03148dd3-94ef-41fc-a473-5ab49f05d1a8,1963-03-22,Option,Sell,RSI,Sell 1 put option,100,124714.68597861375,
980fcc3a-bf32-47de-beed-18dc7b0c511f,1963-04-03,Option,Sell,RSI,Sell 1 put option,100,127344.68653300747,
789a564e-847f-46b3-8fb4-fd472815d702,1963-05-29,Option,Buy,RSI,Buy 1 call option,100,-115775.1461121097,
